"temperature_group","num_entries"
"-15 to -10","8"
"-10 to -5","215"
"-5 to 0","846"
"0 to 5","2323"
"5 to 10","3998"
"10 to 15","4419"
"15 to 20","4722"
"20 to 25","5247"
"25 to 30","4680"
"30 to 35","3125"
"35 to 40","187"
