"wind_group","num_entries"
"0 to 10","8701"
"10 to 20","55041"
"20 to 30","415537"
"30 to 40","1145447"
"40 to 50","1922074"
"50 to 60","2499186"
"60 to 70","2907707"
"70 to 80","3207553"
"80 to 90","3867604"
"90 to 100","4763466"
"Out of Range","216"
